ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M116W93, --, --, --, --, --, -- , GEN, false, CY605226-M2, 690, 40, --, --, --, 1601-1401-1501-1102-1803-1205-1301-2001, CY:IITKgp:1601#CY:IITG:1401#CY:IITK:1501#CY:IISc:1102#CY:IITR:1803#CY:IITB:1205#CY:IITD:1301#CY:IITGN:2001, 0, true, NA, NA, false
M107G76, --, --, --, --, --, -- , OBC, false, GG603272-M2, 128, 54, --, --, --, 1602-1801-1904-1905, GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904#GG:IITBBS:1905, 0, true, NA, NA, false
M104J89, --, --, --, --, --, -- , OBC, false, CY501069-M2, 1258, 31.33, --, --, --, 1401-2101-2001-2401-1301-1501-1803-2201, CY:IITG:1401#CY:IITH:2101#CY:IITGN:2001#CY:IITJ:2401#CY:IITD:1301#CY:IITK:1501#CY:IITR:1803#CY:IITI:2201, 0, true, NA, NA, false
M105H60, --, --, --, --, --, -- , GEN, false, GG611036-M2, 137, 53.33, --, --, --, 1905-1904-1605-1801, GG:IITBBS:1905#GG:IITBBS:1904#GG:IITKgp:1605#GG:IITR:1801, 0, true, NA, NA, false
M120A69, --, --, --, --, --, -- , OBC, false, CY313266-M2, 2015, 24, --, --, --, 1501-1301-2401-1803-2201-1401-2001-1601-1205-1102-1901-2302-1701-2101, CY:IITK:1501#CY:IITD:1301#CY:IITJ:2401#CY:IITR:1803#CY:IITI:2201#CY:IITG:1401#CY:IITGN:2001#CY:IITKgp:1601#CY:IITB:1205#CY:IISc:1102#CY:IITBBS:1901#CY:IITRPR:2302#CY:IITM:1701#CY:IITH:2101, 0, true, NA, NA, false
M112A63, --, --, --, --, --, -- , OBC, false, CY809158-M2, 1407, 29.67, --, --, --, 1803-1301-2401, CY:IITR:1803#CY:IITD:1301#CY:IITJ:2401, 0, true, NA, NA, false
M115C55, --, --, --, --, --, -- , SC, false, BT211216-M0, 1453, 15, --, --, --, XXXX, BT:IITB:1210, 0, true, NA, NA, false
M110W39, --, --, --, --, --, -- , OBC, false, MA212041-M1, 410, 32, --, --, --, 1206-1702-1502, MA:IITB:1206#MA:IITM:1702#MA:IITK:1502, 0, true, NA, NA, false
M105K19, --, --, --, --, --, -- , GEN, false, BL601023-M0, 790, 27.67, --, --, --, 1101-1102-XXXX, BL:IISc:1101#BL:IISc:1102#BL:IITB:1210, 0, true, NA, NA, false
M117N67, --, --, --, --, --, -- , SC, false, PH504101-M1, 4439, 10, --, --, --, 1207-1503-1303-1805-2202-1703-2402-2103-2003-1903-2303, PH:IITB:1207#PH:IITK:1503#PH:IITD:1303#PH:IITR:1805#PH:IITI:2202#PH:IITM:1703#PH:IITJ:2402#PH:IITH:2103#PH:IITGN:2003#PH:IITBBS:1903#PH:IITRPR:2303, 0, true, NA, NA, false
