ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M101Y56, MS, 1203, GEN, 1, 10, 63.67, GEN, false, MS205221-M2, 10, 63.67, --, --, --, 1203, MS:IITB:1203, 3, false, No-Quota-Change, Same, false
M105H65, GG, 1201, GEN, 1, 10, 77.33, GEN, false, GG611041-M2, 10, 77.33, --, --, --, 1201-1602-1801-1905-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1905#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M107X27, CY, 1501, GEN, 1, 10, 75.67, OBC, false, CY611201-M2, 10, 75.67, --, --, --, 1501-1205, CY:IITK:1501#CY:IITB:1205, 3, false, No-Quota-Change, Same, false
M110T93, CY, 1501, GEN, 1, 11, 75, GEN, false, CY612043-M2, 11, 75, --, --, --, 1501-1205-1601-1401-1701-1803, CY:IITK:1501#CY:IITB:1205#CY:IITKgp:1601#CY:IITG:1401#CY:IITM:1701#CY:IITR:1803, 4, true, No-Quota-Change, Same, false
M107D67, BT, 1101, GEN, 1, 11, 41.67, GEN, false, BT513032-M2, 11, 41.67, --, --, --, 1101-1204-1802-XXXX-XXXX, BT:IISc:1101#BT:IITB:1204#BT:IITR:1802#BT:IITB:1210#BT:IITB:1213, 4, true, No-Quota-Change, Same, false
M103W49, CY, 1102, GEN, 1, 11, 75, GEN, false, CY323312-M2, 11, 75, --, --, --, 1102-1205-1301-1501, CY:IISc:1102#CY:IITB:1205#CY:IITD:1301#CY:IITK:1501, 3, false, No-Quota-Change, Same, false
M109W53, GG, 1201, GEN, 1, 11, 75.33, OBC, false, GG604039-M2, 11, 75.33, --, --, --, 1201-1602-1801-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M107S40, PH, 1207, GEN, 2, 11, 59.67, GEN, false, PH705144-M1, 11, 59.67, --, --, --, XXXX-1207-1303-XXXX-1703-XXXX-1215-1604, PH:IITK:1503#PH:IITB:1207#PH:IITD:1303#PH:IISc:1104#PH:IITM:1703#PH:IITK:1505#PH:IITB:1215#PH:IITKgp:1604, 3, false, No-Quota-Change, Same, false
M111J55, MS, 1504, GEN, 1, 11, 62.33, GEN, false, MS514084-M2, 11, 62.33, --, --, --, 1504-1203-XXXX-1214-1905, MS:IITK:1504#MS:IITB:1203#MS:IISc:1103#MS:IITB:1214#MS:IITBBS:1905, 3, false, No-Quota-Change, Same, false
M105E78, GG, 1201, GEN, 1, 12, 74.67, GEN, false, GG605115-M2, 12, 74.67, --, --, --, 1201-1602-1801, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M117D93, PH, 1503, GEN, 1, 12, 59, GEN, false, PH306038-M1, 12, 59, --, --, --, 1503-1207-1303-XXXX-1604, PH:IITK:1503#PH:IITB:1207#PH:IITD:1303#PH:IISc:1104#PH:IITKgp:1604, 3, false, No-Quota-Change, Same, false
M105J76, MS, 1504, GEN, 1, 12, 62, GEN, false, MS608021-M2, 12, 62, --, --, --, 1504-1203, MS:IITK:1504#MS:IITB:1203, 3, false, No-Quota-Change, Same, false
M106D55, MA, 1206, GEN, 2, 12, 57.33, GEN, false, MA319101-M0, 12, 57.33, --, --, --, XXXX-1206-1502-1603-1702-1302-1804-1402-2102-2002-1902-2301-2403-2203, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITKgp:1603#MA:IITM:1702#MA:IITD:1302#MA:IITR:1804#MA:IITG:1402#MA:IITH:2102#MA:IITGN:2002#MA:IITBBS:1902#MA:IITRPR:2301#MA:IITJ:2403#MA:IITI:2203, 4, true, No-Quota-Change, Same, false
M119V91, BT, 1204, GEN, 1, 13, 40, GEN, false, BL304026-M0, 10, 62.33, BT304026-M0, 13, 40, 1204-1101-1802, BT:IITB:1204#BL:IISc:1101#BT:IITR:1802, 3, false, No-Quota-Change, Same, false
M103A56, PH, 1503, GEN, 1, 13, 59, GEN, false, PH605169-M1, 13, 59, --, --, --, 1503-1207-1604, PH:IITK:1503#PH:IITB:1207#PH:IITKgp:1604, 3, false, No-Quota-Change, Same, false
M105U90, CY, 1501, GEN, 1, 13, 74.33, GEN, false, CY611080-M2, 13, 74.33, --, --, --, 1501-1205, CY:IITK:1501#CY:IITB:1205, 3, false, No-Quota-Change, Same, false
M109W86, GG, 1201, GEN, 1, 13, 74, OBC, false, GG604042-M2, 13, 74, --, --, --, 1201-1602-1801-1904-1905, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904#GG:IITBBS:1905, 3, false, No-Quota-Change, Same, false
M105T39, CY, 1501, GEN, 1, 13, 74.33, GEN, false, CY611074-M2, 13, 74.33, --, --, --, 1501-1102-1205-1601-1701, CY:IITK:1501#CY:IISc:1102#CY:IITB:1205#CY:IITKgp:1601#CY:IITM:1701, 3, false, No-Quota-Change, Same, false
M102K54, MS, 1203, GEN, 1, 13, 61.33, GEN, false, MS403015-M2, 13, 61.33, --, --, --, 1203-1504-1214, MS:IITB:1203#MS:IITK:1504#MS:IITB:1214, 3, false, No-Quota-Change, Same, false
M105D56, MA, 1206, GEN, 2, 14, 55.33, GEN, false, MA611135-M1, 14, 55.33, --, --, --, XXXX-1206-1502-1702, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITM:1702, 4, true, No-Quota-Change, Same, false
M105E39, GG, 1201, GEN, 1, 14, 73.67, GEN, false, GG605113-M2, 14, 73.67, --, --, --, 1201-1602-1801, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M106P34, CY, 1501, GEN, 1, 15, 74, GEN, false, CY611126-M2, 15, 74, --, --, --, 1501-1205-1601-1102-1701-1401-1301-1803, CY:IITK:1501#CY:IITB:1205#CY:IITKgp:1601#CY:IISc:1102#CY:IITM:1701#CY:IITG:1401#CY:IITD:1301#CY:IITR:1803, 3, false, No-Quota-Change, Same, false
M105N46, BT, 1204, GEN, 1, 15, 40, GEN, false, BL610068-M0, 95, 46.67, BT610028-M0, 15, 40, 1204-1802-XXXX-1101, BT:IITB:1204#BT:IITR:1802#BL:IITB:1210#BL:IISc:1101, 3, false, No-Quota-Change, Same, false
M102X87, MA, 1206, GEN, 1, 15, 55, GEN, false, MA205190-M1, 15, 55, --, --, --, 1206-1702-XXXX-1502-1302-1402-1603, MA:IITB:1206#MA:IITM:1702#MA:IISc:1103#MA:IITK:1502#MA:IITD:1302#MA:IITG:1402#MA:IITKgp:1603, 3, false, No-Quota-Change, Same, false
M101Z24, CY, 1205, GEN, 1, 15, 74, GEN, false, CY610132-M2, 15, 74, --, --, --, 1205-1501-1601-1701-1301-1401, CY:IITB:1205#CY:IITK:1501#CY:IITKgp:1601#CY:IITM:1701#CY:IITD:1301#CY:IITG:1401, 3, false, No-Quota-Change, Same, false
M107K12, GG, 1201, GEN, 1, 15, 73.33, GEN, false, GG603280-M2, 15, 73.33, --, --, --, 1201-1602-1801-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M108B57, MS, 1203, GEN, 1, 15, 59, GEN, false, MS514027-M2, 15, 59, --, --, --, 1203-1504-1214-1905, MS:IITB:1203#MS:IITK:1504#MS:IITB:1214#MS:IITBBS:1905, 3, false, No-Quota-Change, Same, false
M103Z22, BT, 1204, GEN, 1, 15, 40, GEN, false, BL610058-M0, 59, 49.67, BT610018-M0, 15, 40, 1204-1101-1802-XXXX, BT:IITB:1204#BT:IISc:1101#BT:IITR:1802#BT:IITB:1210, 3, false, No-Quota-Change, Same, false
M101U54, PH, 1303, GEN, 1, 15, 56.67, GEN, false, PH301329-M1, 15, 56.67, --, --, --, 1303-XXXX-1207-1503, PH:IITD:1303#PH:IISc:1104#PH:IITB:1207#PH:IITK:1503, 3, false, No-Quota-Change, Same, false
M106D31, MA, 1206, GEN, 2, 16, 55, OBC, false, MA808089-M1, 16, 55, --, --, --, XXXX-1206-1502-1603-1302-1702-1402-1804-2102-1902-2301-2203-2002, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITKgp:1603#MA:IITD:1302#MA:IITM:1702#MA:IITG:1402#MA:IITR:1804#MA:IITH:2102#MA:IITBBS:1902#MA:IITRPR:2301#MA:IITI:2203#MA:IITGN:2002, 4, true, No-Quota-Change, Same, false
M109T45, PH, 1104, GEN, 1, 16, 56.33, GEN, false, PH327173-M1, 16, 56.33, --, --, --, 1104-1503-1207-1303-1703-1604-1805-1403-1202-1605-1216-XXXX-1215-2103-1903-2202-2003-2402-2303-1905-XXXX-XXXX-XXXX, PH:IISc:1104#PH:IITK:1503#PH:IITB:1207#PH:IITD:1303#PH:IITM:1703#PH:IITKgp:1604#PH:IITR:1805#PH:IITG:1403#PH:IITB:1202#PH:IITKgp:1605#PH:IITB:1216#PH:IITK:1505#PH:IITB:1215#PH:IITH:2103#PH:IITBBS:1903#PH:IITI:2202#PH:IITGN:2003#PH:IITJ:2402#PH:IITRPR:2303#PH:IITBBS:1905#PH:IITB:1212#PH:IITB:1213#PH:IITB:1210, 3, false, No-Quota-Change, Same, false
M107K60, GG, 1201, GEN, 1, 16, 73.33, GEN, false, GG603287-M2, 16, 73.33, --, --, --, 1201-1602-1801-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
