registration_id,application_id,air,raw_marks
BL403188-M1,M105M97,154,42.67
BL701221-M1,M105U53,155,42.67
BL701017-M0,M110Z13,155,42.67
BL209013-M0,M122F26,157,42.33
BL509244-M0,M113Z54,158,42.33
BL204022-M0,M110J92,159,42.33
BL320112-M0,M112V58,159,42.33
BL211214-M0,M111U33,161,42
BL301124-M0,M111A83,162,42
BL101027-M0,M105K90,163,42
BL304023-M0,M119F94,163,42
BL307133-M0,M104W65,163,42
BL606094-M0,M111P38,163,42
BL105006-M0,M112F79,163,42
BL312059-M0,M110K35,168,41.67
BL606089-M0,M111A21,169,41.67
BL320143-M0,M115A17,169,41.67
BL327161-M1,M109K94,171,41.67
BL513237-M0,M119D26,172,41.67
BL320121-M0,M113D87,173,41.33
BL309127-M1,M113V61,174,41.33
BL807091-M1,M108D17,175,41.33
BL102155-M1,M123A67,175,41.33
BL606085-M0,M110Q52,175,41.33
BL101038-M0,M110C59,178,41.33
BL309014-M0,M108T35,178,41.33
BL610093-M0,M109M30,180,41
BL319004-M0,M101D25,181,41
BL320045-M0,M109K97,181,41
BL319104-M0,M106G70,183,41
BL319001-M0,M101A15,183,41
BL607129-M1,M103S24,185,41
BL303186-M1,M121M29,185,41
BL317017-M1,M119F99,187,40.67
BL301040-M0,M103C58,187,40.67
BL510254-M0,M104A10,187,40.67
BL320125-M0,M113G84,187,40.67
BL303244-M0,M103A46,191,40.67
BL610094-M0,M109M36,192,40.33
BL301216-M0,M117D36,193,40.33
BL204004-M0,M102A32,193,40.33
BL805014-M0,M117T70,193,40.33
BL210141-M1,M106M14,196,40.33
BL211024-M1,M111A25,196,40.33
BL321019-M0,M120C21,196,40.33
BL616132-M0,M103R98,199,40
BL324356-M0,M103Y55,200,40
BL411098-M0,M104J94,200,40
BL301184-M0,M114Y30,200,40
BL210068-M0,M120P78,200,40
BL211136-M1,M119S87,200,40
BL103033-M0,M110Z87,200,40
BL606071-M0,M108S62,206,40
BL321028-M0,M120N62,206,40
BL101077-M0,M120E22,208,40
BL301069-M0,M105T93,209,39.67
BL316064-M1,M122F76,210,39.67
BL301079-M0,M106D48,211,39.67
BL301249-M0,M119C69,211,39.67
BL606032-M0,M104Y86,211,39.67
BL304029-M0,M120N54,214,39.67
BL201001-M0,M102A39,214,39.67
BL702060-M0,M119W15,216,39.67
BL703193-M1,M108V26,216,39.67
BL508096-M0,M118W88,218,39.67
BL211307-M1,M106G26,219,39.33
BL407007-M0,M109K56,220,39.33
BL102094-M1,M118Q79,220,39.33
BL101137-M1,M104J57,222,39.33
BL303278-M0,M107J96,222,39.33
BL508016-M0,M114M77,222,39.33
BL801139-M0,M119V29,225,39
BL323003-M1,M105E94,226,39
BL603146-M0,M112C29,227,39
BL307021-M0,M113H50,227,39
BL606050-M0,M106M17,227,39
BL606023-M0,M103J88,227,39
BL321054-M0,M122J45,227,39
BL801014-M0,M112S49,232,39
BL303181-M1,M121F64,232,39
BL107143-M1,M119V59,232,39
BL301111-M0,M109P29,235,39
BL405265-M1,M101E29,235,39
BL328037-M1,M117Q80,237,38.67
BL601071-M0,M112S99,238,38.67
BL801004-M0,M104A84,239,38.67
BL308122-M0,M102Y37,239,38.67
BL210025-M0,M111K57,239,38.67
BL319043-M0,M103A64,239,38.67
BL305050-M1,M107J12,243,38.67
BL805043-M1,M118J55,243,38.67
BL313036-M0,M111A58,245,38.67
BL324338-M0,M102B66,246,38.67
BL310012-M0,M106J21,246,38.67
BL325213-M1,M102E85,248,38.67
