AAllocated-Progra,allocated-Paper,Allocated-Quota
1205,CY,SC
1803,CY,OBC
1301,CY,SC
2203,MA,OBC
2203,MA,OBC
2203,MA,OBC
2403,MA,OBC
2403,MA,OBC
1604,PH,OBC
1703,PH,OBC
1701,CY,OBC
1212,MA,GEN
1905,MA,OBC
1202,PH,SC
1701,CY,OBC
1703,PH,OBC
1701,CY,OBC
2302,CY,OBC
1701,CY,OBC
1701,CY,OBC
1201,GG,ST
1205,CY,SC
1805,PH,OBC
1401,CY,OBC
1701,CY,OBC
1302,MA,SC
1703,PH,OBC
1207,PH,SC
1701,CY,OBC
1701,CY,OBC
1211,CY,SC
1701,CY,OBC
1703,PH,OBC
1504,MS,SC
1703,PH,OBC
1302,MA,ST
1302,MA,SC
1504,MS,SC
1401,CY,OBC
1401,CY,OBC
1403,PH,OBC
2402,PH,OBC
1401,CY,OBC
1207,PH,SC
1805,PH,OBC
1703,PH,OBC
1401,CY,OBC
1302,MA,SC
1401,CY,OBC
2101,CY,OBC
1301,CY,SC
1102,CY,SC
1401,CY,OBC
1602,GG,ST
1903,PH,OBC
1401,CY,OBC
1903,PH,OBC
1403,PH,OBC
1401,CY,OBC
1401,CY,OBC
1301,CY,GEN-PwD
1403,PH,OBC
1901,CY,SC
1604,PH,SC
1403,PH,OBC
1205,CY,SC
2001,CY,OBC
1301,CY,SC
1702,MA,SC
1703,PH,OBC
1802,BT,ST
2401,CY,OBC
1701,CY,SC
1901,CY,OBC
1403,PH,OBC
1703,PH,OBC
1401,CY,SC
1401,CY,OBC
1802,BT,ST
1403,PH,OBC
1403,PH,SC
1702,MA,SC
1403,PH,OBC
1401,CY,OBC
2101,CY,OBC
1401,CY,SC
1701,CY,SC
1403,PH,OBC
2003,PH,OBC
2101,CY,OBC
1605,PH,OBC
1403,PH,OBC
1403,PH,OBC
1605,PH,OBC
2101,CY,OBC
2101,CY,OBC
1901,CY,OBC
1701,CY,SC
1605,GG,ST
2202,PH,OBC
1403,PH,OBC
2101,CY,OBC
1403,PH,OBC
1903,PH,OBC
1903,PH,OBC
2001,CY,OBC
1403,PH,OBC
2101,CY,OBC
2402,PH,OBC
1901,CY,OBC
2001,CY,OBC
2302,CY,OBC
1604,PH,SC
1903,PH,OBC
1205,CY,GEN-PwD
2303,PH,OBC
1605,PH,OBC
2103,PH,OBC
1504,MS,ST
1905,PH,OBC
1602,GG,ST
2001,CY,OBC
2001,CY,OBC
2201,CY,OBC
1207,PH,SC
1207,PH,SC
2201,CY,OBC
1303,PH,SC
1901,CY,OBC
1504,MS,ST
2003,PH,OBC
1901,CY,OBC
2003,PH,OBC
2202,PH,OBC
2103,PH,OBC
2201,CY,OBC
2401,CY,OBC
1803,CY,SC
1401,CY,SC
2103,PH,OBC
2103,PH,OBC
2303,PH,OBC
1603,MA,SC
2302,CY,OBC
1401,CY,SC
1702,MA,SC
1302,MA,ST
2202,PH,OBC
1803,CY,SC
1604,PH,SC
1804,MA,SC
1203,MS,GEN-PwD
1804,MA,SC
1905,CY,OBC
1904,GG,ST
1801,GG,ST
1603,MA,SC
1904,GG,ST
1604,PH,SC
1805,PH,SC
1303,PH,SC
1401,CY,SC
1803,CY,SC
1702,MA,SC
1804,MA,SC
1401,CY,ST
1701,CY,SC
1604,PH,SC
1603,MA,SC
1214,MA,ST
1603,MA,SC
1207,PH,SC
1804,MA,SC
2301,MA,SC
1302,MA,ST
1604,PH,SC
1504,MS,ST
1303,PH,SC
1504,MS,ST
2302,CY,SC
1603,MA,SC
1701,CY,SC
1501,CY,GEN-PwD
1803,CY,SC
1303,PH,SC
1605,PH,SC
1303,PH,SC
1802,BT,ST
1701,CY,SC
2302,CY,SC
1205,CY,ST
1805,PH,SC
1701,CY,SC
1601,CY,GEN-PwD
1702,MA,SC
1212,MA,GEN
1703,PH,SC
1403,PH,SC
2001,CY,SC
1902,MA,SC
1206,MA,ST
1401,CY,SC
1402,MA,SC
1403,PH,SC
1403,PH,SC
2001,CY,SC
1402,MA,SC
1702,MA,SC
2002,MA,SC
1401,CY,SC
1902,MA,SC
2101,CY,SC
2401,CY,SC
2403,MA,SC
1603,MA,ST
