application_id,seat_allotted
M104M71,2201
M105K32,2101
M107Q35,1901
M101J49,2201
M109M27,2203
M102N63,2201
M102S96,2301
M103N75,2201
M104K34,2201
M101R80,2201
M102Z38,2103
M105U61,2103
M110E13,2103
M109K47,2103
M101T15,2103
M112C84,2103
M104P15,2103
M108X35,2103
M101T67,2103
M106R60,2103
M110W69,2103
M104Z45,2103
M102Q82,2103
M101N14,2103
M103A52,2103
M101G71,2103
M101A73,2103
M111P54,2103
M113W66,2103
M102P35,2103
M103K53,2103
M112F32,2103
M106Q11,2103
M102U90,2103
M107P80,2103
M113U97,2103
M105B76,2103
M102G33,2103
M105V83,2103
M113W40,2102
M110M73,2102
M111G37,2102
M103Q76,2102
M103C75,2102
M104K73,2102
M119C75,2102
M108G65,2102
M101U74,2102
M106K91,2102
M101A65,2102
M114D55,1208
M108S51,1208
M103F80,2102
M107X19,2102
M104D67,2102
M111U92,2102
M110D94,2102
M105C91,2102
M104K36,2102
M118Q87,2102
M102X90,2102
M117W71,2102
M108G65,2002
M101U74,2002
M105S37,2002
M118X59,2002
M106U68,2002
M108J76,2002
M104D50,2002
M106K91,2002
M111G92,2002
M103F80,2002
M104D67,2002
M101W68,2002
M109B47,2002
M107Z25,2002
M102Y20,2002
M111V68,2002
M102P62,2002
M111C44,2002
M105R71,2002
M104K36,2002
M107F84,2002
M105T91,2103
M114R82,2103
M102V65,2103
M108Q95,2102
M115U83,2102
M109M27,2102
M102Y25,2102
M102S96,2102
M107T64,2102
M109Y98,2103
M111U85,2102
M105W39,2102
M103H95,2103
M109M40,2102
M105V31,2103
M118F72,2002
M108W47,2002
M106K15,2002
M111D97,2002
M106Q75,2002
M111H43,2002
M109E19,2002
M102S38,2002
M101R31,2002
M102B24,2002
M102D22,2002
M106E15,2001
M120C14,2001
M102A60,2001
M109J10,2001
M101U45,2001
M104T46,2001
M101B35,2001
M112B49,2001
M121F43,2001
M109K32,2001
M106A20,2001
M114B95,2001
M101Y68,2001
M109X84,2001
M110U42,2001
M106Q49,2001
M110T36,2001
M106D37,2001
M116Z35,1905
M119E67,1905
M112H20,1905
M110C27,1210
M116G29,1905
M115B76,1905
M111X39,1905
M102F86,1905
M102U35,1905
M110X76,1905
M108H64,1905
M102X98,1905
M116F42,1905
M102Z55,1905
M115J78,1905
M107X19,1905
M103M62,2001
M102G40,2001
M107T44,2001
M101P81,2001
M114U12,2001
M108F55,2001
M101E33,2001
M104M71,2001
M103G65,2001
M105K32,2001
M107H36,2001
M106A68,2001
M107Q35,2001
M104P95,2002
M115P88,2002
M115P64,2001
M107U23,2001
M103N43,2001
M113B86,2001
M102F82,2001
M110H99,2001
M113A59,2002
M102Y25,2002
M115U83,2002
M102S96,2002
M103N75,2001
M120U17,2001
M107T64,2002
M104K34,2001
M106T60,2001
M107N44,2001
M110X91,1905
M113A96,1905
M110H57,1905
M104E49,1905
M108S55,1905
M103W75,1301
M102M49,1301
M119A46,1210
M119W76,1802
M108P99,1802
M112X25,1802
M119D26,1802
M109K23,1204
M110J92,1802
M122M84,1213
M102U94,1802
M118K72,1213
M110X97,1101
M101V38,1802
M101V38,1213
M101V38,1204
M115N85,1213
M118R23,1802
M114A35,1204
M101D44,1904
M112G96,1602
M108Z39,1905
M101Z81,1212
M108Z39,1904
M108Z39,1201
M113K85,1602
M105F52,1801
M107H38,1602
M105F48,1904
M102T71,1801
M107F17,1801
M109W27,1904
M107D21,1801
M106C33,1801
M109A10,1201
M102V92,1602
M106C71,1801
M106C71,1201
M107A99,2403
M116W19,2403
M108G65,2403
M107P36,2403
M115U32,2403
M104K36,2403
M118Q87,2403
M102X90,2403
M118F72,2403
M117W71,2403
M103Q31,2403
M110C43,2403
M113U15,2403
M116S14,2402
M117G35,2402
M120F30,2402
M105C38,2402
M122C63,2402
M102Z38,2402
M112B69,2402
M102V65,2402
M102V97,2402
M101C23,2402
M115U83,2403
M109M27,2403
M113A59,2403
