Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, Is_accepted, Is_rejected, Remark, StatusId, autoUpgrade
M101G82, 1504, MS, OBC, 1, 50, 46.33, round2, null, null, null,3, false
M109N21, 1216, PH, GEN, 1, 50, 48, round2, null, null, null,3, false
M105H61, 1904, GG, GEN, 4, 50, 65.33, round2, null, null, null,4, true
M102M83, 1104, PH, GEN, 1, 50, 48, round2, null, null, null,3, false
M120V92, 1206, MA, OBC, 2, 50, 48.67, round2, null, null, null,3, false
M105M96, 1904, GG, GEN, 4, 51, 65, round2, null, null, null,4, true
M102J71, 1214, MS, GEN, 3, 51, 46.33, round2, null, null, null,4, true
M110X30, 1702, MA, GEN, 2, 51, 48.67, round2, null, null, null,4, true
M102V93, 1205, CY, GEN, 2, 51, 66.33, round2, null, null, null,4, true
M105J72, 1102, CY, GEN, 1, 51, 66.33, round2, null, null, null,3, false
M122H66, 1214, MS, GEN, 3, 51, 46.33, round2, null, null, null,4, true
M107M55, 1502, MA, GEN, 3, 52, 48.67, round2, null, null, null,4, true
M109W82, 1201, GG, OBC, 1, 52, 65, round2, null, null, null,3, false
M112T98, 1207, PH, GEN, 1, 52, 47.67, round2, null, null, null,3, true
M110U91, 1302, MA, GEN, 2, 53, 48.33, round2, null, null, null,3, false
M102X26, 1302, MA, GEN, 2, 53, 48.33, round2, null, null, null,4, true
M109U10, 1503, PH, GEN, 2, 53, 47.67, round2, null, null, null,3, true
M103A40, 1207, PH, GEN, 2, 53, 47.67, round2, null, null, null,3, true
M108J10, 1602, GG, OBC, 2, 53, 65, round2, null, null, null,4, true
M106R33, 1102, CY, GEN, 1, 53, 65.33, round2, null, null, null,3, true
M106M67, 1602, GG, OBC, 1, 54, 64.67, round2, null, null, null,3, false
M118U24, 1101, BT, SC, 1, 54, 35, round2, null, null, null,4, true
M110T96, 1501, CY, SC, 1, 54, 65.33, round2, null, null, null,3, false
M105N49, 1214, MA, GEN, 2, 55, 48, round2, null, null, null,3, false
M105R94, 1904, GG, GEN, 4, 55, 64.33, round2, null, null, null,4, true
M108T13, 1301, CY, GEN, 1, 55, 65, round2, null, null, null,3, false
M108R33, 1206, MA, SC, 1, 55, 48, round2, null, null, null,3, false
M104D20, 1205, CY, GEN, 2, 55, 65, round2, null, null, null,3, true
M101D81, 1302, MA, GEN, 1, 55, 48, round2, null, null, null,3, false
M113K85, 1208, GG, OBC, 2, 55, 64.33, round2, null, null, null,3, false
M108C59, 1905, MS, GEN, 5, 56, 45.67, round2, null, null, null,4, true
M104X96, 1604, PH, GEN, 1, 56, 47, round2, null, null, null,3, false
M102D37, 1301, CY, GEN, 1, 57, 64.67, round2, null, null, null,3, false
M120T37, 1202, PH, GEN, 1, 57, 47, round2, null, null, null,3, false
M109R18, 1502, MA, GEN, 1, 58, 48, round2, null, null, null,3, false
M101G58, 1303, PH, GEN, 3, 58, 46.33, round2, null, null, null,4, true
M107K57, 1904, GG, GEN, 3, 58, 64, round2, null, null, null,4, true
M106U71, 1301, CY, GEN, 1, 58, 64.67, round2, null, null, null,3, false
M106F26, 1604, PH, GEN, 1, 59, 46.33, round2, null, null, null,3, false
M107Z12, 1205, CY, OBC, 1, 59, 64.33, round2, null, null, null,3, false
M110E53, 1601, CY, GEN, 3, 59, 64.33, round2, null, null, null,4, true
M101M12, 1904, GG, GEN, 2, 59, 63.67, round2, null, null, null,3, false
M107T19, 1502, MA, GEN, 3, 59, 47.67, round2, null, null, null,4, true
M107S58, 1701, CY, GEN, 2, 59, 64.33, round2, null, null, null,4, true
M104S14, 1203, MS, SC, 1, 60, 45.33, round2, null, null, null,3, false
M102Y62, 1502, MA, GEN, 3, 60, 47.67, round2, null, null, null,3, false
M101Z96, 1201, GG, SC, 1, 60, 63.67, round2, null, null, null,3, false
M104K40, 1502, MA, GEN, 1, 61, 47.33, round2, null, null, null,3, false
M103R40, 1303, PH, GEN, 1, 61, 46, round2, null, null, null,3, false
M107N13, 1904, GG, GEN, 5, 61, 63.33, round2, null, null, null,4, true
M106X35, 1503, PH, GEN, 1, 62, 46, round2, null, null, null,3, true
M108Z93, 1601, CY, GEN, 4, 62, 64.33, round2, null, null, null,4, true
M104P98, 1302, MA, GEN, 1, 62, 47.33, round2, null, null, null,3, false
M107D17, 1602, GG, OBC, 3, 62, 63.33, round2, null, null, null,4, true
M103A51, 1302, MA, GEN, 1, 62, 47.33, round2, null, null, null,3, false
M104K10, 1303, PH, GEN, 2, 63, 45.67, round2, null, null, null,4, true
M109J64, 1601, CY, GEN, 4, 63, 64.33, round2, null, null, null,3, false
M108K96, 1602, GG, OBC, 2, 63, 63.33, round2, null, null, null,4, true
M101P74, 1602, GG, OBC, 2, 64, 62.67, round2, null, null, null,3, false
M107X22, 1602, GG, OBC, 1, 64, 62.67, round2, null, null, null,3, false
M101N45, 1204, BT, OBC, 1, 64, 34.67, round2, null, null, null,3, false
M106G96, 1702, MA, GEN, 3, 64, 47.33, round2, null, null, null,4, true
M105D39, 1503, PH, GEN, 2, 64, 45.67, round2, null, null, null,3, true
M106G94, 1601, CY, GEN, 1, 64, 64, round2, null, null, null,3, false
M106W68, 1206, MA, OBC, 2, 65, 47, round2, null, null, null,3, false
M101A17, 1303, PH, GEN, 1, 65, 45.33, round2, null, null, null,3, false
M105W89, 1501, CY, OBC, 1, 65, 64, round2, null, null, null,3, false
M110T13, 1301, CY, GEN, 3, 66, 64, round2, null, null, null,4, true
M105H66, 1904, GG, GEN, 4, 66, 62.67, round2, null, null, null,4, true
M107E16, 1302, MA, GEN, 1, 66, 47, round2, null, null, null,3, false
M101S14, 1503, PH, GEN, 2, 66, 45.33, round2, null, null, null,3, true
M102M24, 1302, MA, GEN, 4, 66, 47, round2, null, null, null,4, true
M101S25, 1301, CY, GEN, 3, 67, 63.67, round2, null, null, null,4, true
M115W93, 1904, GG, GEN, 4, 67, 62.33, round2, null, null, null,4, true
M107C16, 1604, PH, GEN, 3, 67, 45, round2, null, null, null,3, false
M107K68, 1605, GG, GEN, 1, 68, 62, round2, null, null, null,3, false
M103B19, 1205, CY, OBC, 1, 68, 63.67, round2, null, null, null,3, false
M102K19, 1505, PH, GEN, 2, 68, 45, round2, null, null, null,4, true
M106U42, 1301, CY, GEN, 1, 68, 63.67, round2, null, null, null,3, false
M101T64, 1302, MA, GEN, 2, 68, 47, round2, null, null, null,3, false
M107Z95, 1303, PH, GEN, 1, 69, 44.67, round2, null, null, null,3, false
M107K56, 1502, MA, GEN, 2, 69, 47, round2, null, null, null,4, true
M106N70, 1605, GG, GEN, 4, 69, 62, round2, null, null, null,4, true
M112E94, 1503, PH, GEN, 1, 69, 44.67, round2, null, null, null,3, true
M105H62, 1602, GG, OBC, 2, 69, 62, round2, null, null, null,3, false
M111Y81, 1301, CY, GEN, 1, 70, 63.67, round2, null, null, null,3, false
M117V20, 1301, CY, GEN, 1, 70, 63.67, round2, null, null, null,3, false
M101R87, 1502, MA, GEN, 2, 70, 46.67, round2, null, null, null,3, false
M112X97, 1302, MA, GEN, 1, 71, 46.33, round2, null, null, null,3, false
