application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,acceptance_doc_path,declaration_form_path,undertaking_form_path,bank_challan_path,status_id
M110U91,1302,MA,GEN,2,f,t,/mnt/nas/nas1/set56/bucket87/M110U91/M110U91-ch-20150616193522574,,/mnt/nas/nas1/set56/bucket87/M110U91/M110U91-ch-20150616193601589,/mnt/nas/nas1/set56/bucket87/M110U91/M110U91-ch-20150618183442981,3
M110S75,1502,MA,GEN,2,t,f,/mnt/nas/nas2/set60/bucket69/M110S75/M110S75-ch-20150617111022997,/mnt/nas/nas2/set60/bucket69/M110S75/M110S75-ch-20150617111940064,,/mnt/nas/nas2/set60/bucket69/M110S75/M110S75-ch-20150617174703866,3
M106E73,1203,MS,GEN,1,f,t,/mnt/nas/nas1/set90/bucket25/M106E73/M106E73-ch-20150617104005565,,/mnt/nas/nas1/set90/bucket25/M106E73/M106E73-ch-20150617104026777,/mnt/nas/nas1/set90/bucket25/M106E73/M106E73-ch-20150618212911171,3
M102M83,1104,PH,GEN,1,f,f,/mnt/nas/nas2/set86/bucket58/M102M83/M102M83-ch-20150617173301283,,,/mnt/nas/nas2/set86/bucket58/M102M83/M102M83-ch-20150618133906599,3
M108X80,1201,GG,GEN,1,f,t,/mnt/nas/nas1/set28/bucket38/M108X80/M108X80-ch-20150617131635666,,/mnt/nas/nas1/set28/bucket38/M108X80/M108X80-ch-20150617131707136,/mnt/nas/nas1/set28/bucket38/M108X80/M108X80-ch-20150617175836146,3
M109A10,1801,GG,GEN,2,f,t,/mnt/nas/nas2/set21/bucket90/M109A10/M109A10-ch-20150616130615216,,/mnt/nas/nas2/set21/bucket90/M109A10/M109A10-ch-20150616131049889,/mnt/nas/nas2/set21/bucket90/M109A10/M109A10-ch-2015061615550615,3
M122H66,1214,MS,GEN,3,t,f,/mnt/nas/nas1/set5/bucket26/M122H66/M122H66-ch-20150618101739739,/mnt/nas/nas1/set5/bucket26/M122H66/M122H66-ch-20150618101814805,,/mnt/nas/nas1/set5/bucket26/M122H66/M122H66-ch-20150618114644068,3
M105R67,1102,CY,GEN,1,f,t,/mnt/nas/nas3/set76/bucket45/M105R67/M105R67-ch-20150617084714692,,/mnt/nas/nas3/set76/bucket45/M105R67/M105R67-ch-20150617084104302,/mnt/nas/nas3/set76/bucket45/M105R67/M105R67-ch-20150617115629326,3
M109W41,1201,GG,OBC,1,f,t,/mnt/nas/nas2/set33/bucket3/M109W41/M109W41-ch-20150617130715105,,/mnt/nas/nas2/set33/bucket3/M109W41/M109W41-ch-20150617130745932,/mnt/nas/nas2/set33/bucket3/M109W41/M109W41-ch-20150617133241059,3
M109R18,1502,MA,GEN,1,f,t,/mnt/nas/nas3/set61/bucket82/M109R18/M109R18-ch-20150618111244502,,/mnt/nas/nas3/set61/bucket82/M109R18/M109R18-ch-20150618111427445,/mnt/nas/nas3/set61/bucket82/M109R18/M109R18-ch-20150618131437199,3
M106P56,1205,CY,GEN,1,f,t,/mnt/nas/nas1/set38/bucket66/M106P56/M106P56-ch-20150617195817825,,/mnt/nas/nas1/set38/bucket66/M106P56/M106P56-ch-20150617195837982,/mnt/nas/nas1/set38/bucket66/M106P56/M106P56-ch-20150619212731939,3
M107B75,1205,CY,GEN,1,f,f,/mnt/nas/nas2/set85/bucket66/M107B75/M107B75-ch-20150617092208427,,,/mnt/nas/nas2/set85/bucket66/M107B75/M107B75-ch-20150617183338149,3
M107U76,1203,MS,GEN,1,f,f,/mnt/nas/nas1/set25/bucket42/M107U76/M107U76-ch-20150617110442304,,,/mnt/nas/nas1/set25/bucket42/M107U76/M107U76-ch-20150617150639992,3
M109N21,1216,PH,GEN,1,f,t,/mnt/nas/nas1/set68/bucket15/M109N21/M109N21-ch-20150618150857979,,/mnt/nas/nas1/set68/bucket15/M109N21/M109N21-ch-20150618151010907,/mnt/nas/nas1/set68/bucket15/M109N21/M109N21-ch-20150619135114576,3
