application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, isProvisional, StatusId, autoUpgrade, acceptancePath, declarationPath, undertakingPath, challanPath, isSupernumeri
M103Z22, 1204, BT, GEN, 1, 15, 40, round3, true, 3, false, /mnt/nas/nas1/set83/bucket72/M103Z22/M103Z22-ch-20150616215138516, null, /mnt/nas/nas1/set83/bucket72/M103Z22/M103Z22-ch-2015061621532677, /mnt/nas/nas1/set83/bucket72/M103Z22/M103Z22-ch-20150617142907466, false
M101U54, 1303, PH, GEN, 1, 15, 56.67, round3, false, 3, false, /mnt/nas/nas2/set66/bucket76/M101U54/M101U54-ch-20150617001009902, null, null, /mnt/nas/nas2/set66/bucket76/M101U54/M101U54-ch-20150617143943485, false
M106D31, 1206, MA, GEN, 2, 16, 55, round3, true, 4, true, /mnt/nas/nas2/set53/bucket77/M106D31/M106D31-ch-20150617182909399, /mnt/nas/nas2/set53/bucket77/M106D31/M106D31-ch-20150617183024235, /mnt/nas/nas2/set53/bucket77/M106D31/M106D31-ch-20150617183117848, /mnt/nas/nas2/set53/bucket77/M106D31/M106D31-ch-20150618174940386, false
M109T45, 1104, PH, GEN, 1, 16, 56.33, round3, true, 3, false, /mnt/nas/nas3/set93/bucket46/M109T45/M109T45-ch-20150617090331909, null, /mnt/nas/nas3/set93/bucket46/M109T45/M109T45-ch-20150617090415083, /mnt/nas/nas3/set93/bucket46/M109T45/M109T45-ch-20150617161957388, false
M107K60, 1201, GG, GEN, 1, 16, 73.33, round3, true, 3, false, /mnt/nas/nas2/set71/bucket42/M107K60/M107K60-ch-20150617152104079, null, /mnt/nas/nas2/set71/bucket42/M107K60/M107K60-ch-20150617152200164, /mnt/nas/nas2/set71/bucket42/M107K60/M107K60-ch-20150617163249076, false
M104R93, 1207, PH, GEN, 1, 16, 56.33, round3, false, 3, false, /mnt/nas/nas1/set10/bucket74/M104R93/M104R93-ch-20150617124320936, null, null, /mnt/nas/nas1/set10/bucket74/M104R93/M104R93-ch-20150617135353798, false
M111H64, 1504, MS, GEN, 1, 16, 58.33, round3, true, 3, false, /mnt/nas/nas1/set52/bucket33/M111H64/M111H64-ch-20150617143416281, null, /mnt/nas/nas1/set52/bucket33/M111H64/M111H64-ch-20150617143438731, /mnt/nas/nas1/set52/bucket33/M111H64/M111H64-ch-20150619141327761, false
M116U94, 1206, MA, GEN, 2, 16, 55, round3, true, 4, true, /mnt/nas/nas1/set85/bucket79/M116U94/M116U94-ch-20150619101534273, /mnt/nas/nas1/set85/bucket79/M116U94/M116U94-ch-20150619101542842, /mnt/nas/nas1/set85/bucket79/M116U94/M116U94-ch-20150619101625587, /mnt/nas/nas1/set85/bucket79/M116U94/M116U94-ch-20150619122837799, false
M111A64, 1204, BT, GEN, 1, 17, 40, round3, true, 3, false, /mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150617130919943, null, /mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150617130956196, /mnt/nas/nas3/set95/bucket11/M111A64/M111A64-ch-20150618145059391, false
M107K64, 1201, GG, OBC, 1, 17, 73, round3, true, 3, false, /mnt/nas/nas2/set67/bucket95/M107K64/M107K64-ch-20150617131918255, null, /mnt/nas/nas2/set67/bucket95/M107K64/M107K64-ch-20150617131945693, /mnt/nas/nas2/set67/bucket95/M107K64/M107K64-ch-20150617195840959, false
